name,grade,climb_angle,climb_style,description
Favors Undertaking,2,vertical,technical,"Semi highball corner. Edges, footwork. You can exit early left, or go straight up."
Passage,3,overhanging,traverse,"Route is located on the north side (facing downhill) of the Upper Saddle Boulder. Start on the left side of the face and traverse to the right, staying low. The crux is moving up from a large pinch to the ""Big Horn"" located on the knife edge arete(Rump Roast). Moving up onto the north face early makes this problem an easy V2.    It is easily the best climb in the saddle boulder. Loads of heel hooks in the beginning section with bad food holds below the shelf, and becomes more over hang when at crux move to the Big Horn, then ease off on the arete.     Problem is in the shade all day!"
Saddle Sore,4,overhanging,steep,"Wedge yourself in under the center of the overhang on the North face of the lower Saddle Boulder. A few desperate moves getting out of the overhang and onto the blunt arete, then manage your pump while you pull through overhanging jugs to the top. Most people don't start this problem as a true sit start and there are tons of potential eliminates both left and right. Basically, this is the obvious, natural way to claw yourself out from under the overhang."
Bitch Ass Whiney Ho,6,vertical,traverse,Start on the Right side of the South face and traverse left through quickly diminishing jugs and onto some desperate razor sharp crimps. Pull around the arete and continue along the vertical face until the boulder runs out. Always stay low and off the top holds of the boulder.
Gimme My Forty Sucka,0,vertical,crack,Gimme My Forty Sucka is the obvious crack that ascends the East face of the Hidden Boulder. It follows a slightly diagonal seam that starts about 6 feet off the ground and climbs through good lockers and edges with good feet if you spend the time to look for them. The rock is some of the most solid around so not much to worry about there but it's still a good way to scare yourself.
Brass Monkey,2,vertical,technical,Climb the obvious highball arete left of Give Me my Forty Sucka. There is a sit start that adds a few moves but most people start on the obvious jugs.    Slap your way up the arete to the unnerving topout. Hidden crimps and a bit of moss at the top deteriorate the psyche when scratching your way over the lip of this one. A stack of pads is rarely wavered on this classic highball.
Urban Myth,2,vertical,traverse,Awesome left to right traverse on big slopers.    Easy to go up early on big holds before the right arête.    Try and stay low the entire way to the arête and finish with a boulder beneath you. Feels way harder this way but more fun.
Natural Disaster,3,vertical,face,"Starts about 8 feet left of the arete on the Hidden boulder.  Natural Disaster used to be a potential natural disaster in the making... the problem is pretty highball, and the crux is mostly figuring out the beta on the upper portion of the climb. However, the topout also used to be quite hollow and loose making for an uncontrollable potential disaster for an unsuspecting patron who just pulled down a little too hard.    That threat is gone now as the topout has purged itself leaving a large scar in it's wake. Natural Disaster now climbs pretty much strait up and tops out on the very left of this scar. A low start and some decent crimps set you up with questionable feet as you search for the last inconspicuous hold to get you over the top. The crux is definitely at the top still giving homage to the name ""Natural Disaster""."
The 40 oz Traverse,6,vertical,traverse,"Start just right and around the corner of ""gimme my forty sucka"" and traverse left around the arete and uphill in the middle of the boulder using all holds and ending by topping out on the last possible route. - Classic!"
Space Lord,0,slab,face,"On the west facing side of the Mother Boulder is a flat less than vertical face. There are many holds and ways one could go, but it's more or less strait up the center of the face. The crux is getting off the ground and established on the wall. The higher you climb the better the holds get until you're topping out on jugs. This makes the route popular for those who are looking to train their heads more than those looking to pull down hard. No moves harder than 5.9"
Mother Nature,1,vertical,face,"Mother Nature climbs up an astheticly pleasing arete on giant square cut holds, pockets and crimps with a thought provoking topout high above the dirt. Which has sent more than one climber, highly confident in climbing V1 boulder problems on a despirate retreat.     There is a sit start which adds a couple of very powerful, thin moves of V4 to the start for a more challanging approach."
Global Warning,3,overhanging,technical,"Sit start and pull your way up straddling the big arete on the Mother Boulder. Good crimps, edges and maybe even a heal scum bring you up this daunting route. Stay left out of the broken area that leads off right to easier ground and attack the top of the arete directly. A good three finger pocket rest can be found just before committing to the topout which is not as hard as it looks.     Alot of loose rock was cleaned from just below the top. Stay left on the true arete from this cleaned area for the original version or go right climbing through the cleaned area and exiting up big jugs at the top of Space Lord should you suddenly not feel up to it.     This is a highball route and the name is an indication of that. So watch out for that gigantic rock (earth) if you think you're going to fall from the top of this one."
Smoke Pot Row,4,vertical,technical,"If you like thin micro edging, this route is for you. Sit start and lieback/crimp your way up a right leaning rail like series of holds before exiting onto the thin face to the right. Continue across the short face on dime edges until you can reach up and slap your way around the rounded, nearly hold less corner to finish on the low angle side of Scotts Rock. Best to have this one totally wired if you're going to be attempting Scotts Traverse. You'll be doing it with a serious pump and it's heartbreaking to fall this far into the trip."
Scott's Traverse,9,overhanging,traverse,"Traverse the entire boulder starting on a small rounded rock pedestal left of Coulda been Jimi's. Drop down almost immediately and stay fairly low the entire way. Once you reach the crack (you should still be really low to the ground) pull through the semi short but stout crux and reach for some thank god jugs rounding the corner. It's not over yet as now you must drop back down to a series of moves up a right leaning ramp/rail and commit to the final 8 ft of micro crimps and blisteringly thin feet of Smoke Pot Row. A slightly ascending brutally thin and sustained V4 traverse with a rounded desperate slap fest exit on the South (low angle) side of the boulder. Best of luck!    There is a V7 variation that is mostly the same but takes the hardest moves in the Crux out. Follow the same traverse from the start, but at the crack (Jimmi's Butt Crack) climb up and use the rounded rail and better holds above to aid your scamper across the steep face before dropping back down to round the corner. You still gotta finish on Smoke Pot Row V4 though. Don't cheat yourself..."
Ashes in the Wake,7,overhanging,traverse,"Start on an obvious low two hand match on the far left edge of the boulder. Traverse the entire boulder to the right staying at least 6 inches to a foot below the jugs near the lip of the boulder. This seemingly holdless variation to the traverse requires finding all the small, often sharp or bleak holds and dialing in the sequence before sending this super sustained enduro test piece. A good route to work on  when taking a break from working the near by Scotts traverse as it's a short step down in difficulty, but not endruance. Named after a small fire swept through the area a day or two after the FA."
The Bulge,3,overhanging,dyno,Start on good edges and pull onto desperate sloapers and side pulls till you can make a frantic lunge for the rounded top. Short but stout.
Bloody Madness,3,overhanging,steep,Sit start just left of the center of the overhanging face - or: stand start= V2
Stoned Dangler,5,overhanging,traverse,"A pumpy traverse that starts to the far right side of the Boulder of Bloody Madness on an obvious two handed, chest height rail just around the corner. Drop down and begin a sequential and pumpy traverse which quickly rises up to an obvious rail and your first rest. Now gain access into the long horizontal crack system that splits the boulder and fight the pump all the way across the face until you end up on the large juggy moves on the far left side.     You can give up there or go for the glory by climbing up the juggy overhanging arete above to the top of the boulder for the real finish."
Wildside,4,overhanging,traverse,"Start on the Right arete of the Wildside boulder (where Underworld starts) and traverse up and across the face to the left on a wildly overhanging face full of crimps, pinches and jugs. Finish on the left side of the boulder by climbing up and over the lip."
Tidbit Traverse,4,vertical,traverse,"Traverse the boulder starting out on good jugs and decent feet. Pull around the arete where the route completely changes character to thin pinches and crimps with bad, not so obvious feet. Continue left until you are almost forced to top out by the rising incline of the hill. Don't cheat and step off the boulder too soon, a good crux is right near the end."
Sun Spot Traverse,6,overhanging,traverse,"Traverse the South wall of the Spotlight boulder from Left to Right ending when rounding the corner.     Begin on a two hand rail at a near sit start and start traversing to the right on slopers and pinches. Make sure to stay below the big rails and jugs for the V6 version pulling through on sequential pinches, slopers, and a few razor edges to a pumpy finish rounding the corner on jugs."
Boxcar Traverse,5,vertical,traverse,"Traverse the Boxcar Woody Boulder in a Clockwise direction starting on it's Left (south) side beginning on a perfect, flat two hand rail start.     Warm up on the easy V0 wall and turn the corner to a short slabby wall to warm up the feet. Next, drop down around the corner (watch out for the barbed wire fence) and continue traversing the wall. Staying low for a pumpy sustained V2+ on big loaf pinches and crimps or head up high for a more relaxed and less steep variation. Get a good rest on some nice jugs before turning the corner and fighting your way through the last 12 ft of pumpy, sequential crimps and edges (stay low for the V5 or go high to the rim for a V1 finish) before finally pulling around the last corner and back to the start.      You can customize the traverse to make it as hard or easy as you like but staying low the whole way is the original traverse.     When you get it wired, give yourself a challenge and see how many times you can make it around without falling off."
The Warm Up,0,slab,technical,There are many variations on this highball slab. Pretty good to warm up the mind and body.
Heavy Metal Traverse,4,overhanging,traverse,"Start on high shelf on the right side of the boulder and work your way left. From slopers, to crimpers, side clings to technical footwork, this route is a great project for those in the v3-v5 range.     Having 2 pads would be a safe bet, you're feet are under a slight overhang and your back is over another small boulder the whole route until nice juggy finish. Crux is moving from slopey section to final pinch before jug."
Unamed V3,3,overhanging,steep,Rad thuggy pulls between good holds to a spooky top out..
Hell Awaits,4,overhanging,face,Start from high holds and make a move up to some jugs. From here figure out how to get through the cryptic face sequence to better holds just below the lip. An easy top out awaits.    The low start from opposing side pulls is V7
S.H.P.,4,overhanging,face,"Start from high, sharp notch for the left hand (you may need to stack pads) and a sharp, lower side pull for the right. Move up the arete to a big move and then a jug ledge. Any easy top out lies above.    A little harder from a sit start."
Chocolat,6,overhanging,steep,Sit start the right arête and top out S.H.P.
Hellspawn,7,overhanging,steep,V7 low start with spread eagle compression up into Hell Awaits - original start FA=CS  V8 from sit start matched on low left hand layback FA=CB
Welcome to the Whine Country,8,overhanging,traverse,A left to right epic traverse starting left of Purgatory on obvious good holds and ending on Right Arete problem traversing all the way across the highball overhanging face.
Slick,4,vertical,face,Start on a left handed undercling and climb up small edges to the top w/ poor feet
Monkey See Monkey Do,0,vertical,face,Climb the arete between the west face and south face near the left end of the formation.    VARIATIONS   Monkey Poo 5.11a / V1: sit start.   Tango 5.10d / V1: halfway up hand traverse to the right and finish on arete above the big vertical crack.
Dreamweaver,0,vertical,face,"Start 1 foot to the right of the tree and climb straight up to the top, finishing just left of the double-bolt anchor."
Footloose,1,vertical,face,"Start 6 feet right of the tree at the base of the south face and climb straight up, finishing just right of the double-bolt anchor."
No Brain No Pain,3,vertical,crack,"Climb the face left of the main vertical crack on the south face. Harder (5.11c / V2) if you go straight up, easier (5.11b / V2) if you finish on the arete to the right.    VARIATION   No Pain No Gain 5.12a / V4: sit start."
Fancy Free,3,vertical,face,"Start just left of the arete at the right edge of the south face and diagonal up and left, avoiding the big ledge above and finishing on Footloose. Easier (5.11c / V2) if you climb straight up to the ledge."
Mossy Rock Traverse,4,overhanging,traverse,"Sit start at the right edge of the east face, stay low while traversing left to the west face, finish at the top. Various portions of the face can be traversed at an easier grade from left to right.    VARIATIONS   Free Will 5.12b / V5: traverse below the small ledge on the left end of the south face.   Booty 5.11d / V3: sit start left of arete at right edge of the south face, traverse right and finish on the arete on the right edge of the east face."
Muchacho,0,overhanging,steep,"Climb straight up the small overhang in the center of the west face, just right of the hand crack. Handholds above the crux overhang are good but footholds are thin. A short but fun lead!"
Señorita,0,vertical,face,"Climb the right-center of the south face, starting just right of a bulge (note: the rock to the right looks rotten and may be unsafe to climb)."
Señor,0,vertical,face,"Climb the left side of the south face, starting just right of the arete."
Señora,0,vertical,face,Climb the left-center face on the south face.
Hard Up,3,overhanging,steep,Sit start in center of overhanging west face.
The Hard-On Traverse,6,overhanging,traverse,Start the traverse on the right side of the face climbing the reverse of Hard Up and finish on Hard
Skullcracker,2,overhanging,mantle,"Starts to the left of ""The Specialist"".  Sit start to a small ledge work your way up into a mantle and top out."
Rock Scar,3,overhanging,face,Sit start on the good sloper on the far left of the boulder. Move right using the obvious holds. The crux is a big move or a bump sequence to a large jug. High feet is key for the crux.
Calambity,6,overhanging,steep,"Sit start on the large ""V"" shaped notch. Go straight up the face, using two crimps with decent thumb catches. All the huge jugs on ""Skullcracker"" are off. Get over the lip, and top out by following the arete."
Pelican Arete,0,vertical,face,"Climb the interesting and sustained right arete, without using the left arete.  Holds are more plentiful around the right side of the arete.  Sustained and intersting, this is an excellent warmup route for more advanced climbers, and a difficult yet doable first 5.10.     This route is often bouldered, though the crux is about 10' off the ground, so place your crashpad carefully!"
Killer Crack,2,vertical,crack,"To the right of ""Pelican Arete"" about halfway on the face. Follow the thin crack to the top."
Mid-Term,0,vertical,crack,"Starts near the right hand side follows the crack up. Corresponds with number 4 on the picture. Once you have this crack nailed move on to ""Final Exam""."
Sunset Traverse,2,vertical,traverse,This climb is on the back side of the left most rock as you approach Sunset Boulders. You start on the left side and traverse right. Great endurance problem.
Potato Chip Arete,3,vertical,face,Climb the arete to the right of the Potato Chip Face.  Don't miss the one-finger edge for your left hand.    Stand (V3) or sit (V4) start.
Chip Direct,3,vertical,crack,Start left hand on potato chip crimp with right hand side pull on mini arete. Use the crack and the second higher mini arete almost directly above the the first.
Wrist Slitter Traverse,3,overhanging,traverse,"This is the best problem we found at Twin Coves.    Starting 20' left and downhill from the beginning of Seagull arete you will find an overhung section that allows for a great bouldering traverse.  Start on the large jug in the slot, and move steadily uphill on the arete. Continue uphill with hands and feet on the arete and mantle out just before the large bulge around the corner from Seagull Arete.    The final moves are guaranteed to slit your wrist."
Not So Super Slab,0,slab,face,highball slab
Dragonslayer,3,vertical,face,Stand start face/arete.
Super Slab,6,slab,technical,Same sit start as Abalone in center of overhanging face at base of slab but go straight up onto slab to finish.
Abalone,7,overhanging,traverse,Sit start in center of overhanging face at base of slab. Traverse across sloper rail from right to left.
Super Abalone,8,overhanging,traverse,Start on far right side of overhanging face at base of slab.Traverse left past heinous slopers and toe/heel hooks into Abalone finish.
Bouncer,5,overhanging,steep,Obvious sit start.
Sand and Shadow on the Sea,0,vertical,face,"Fun route right above the crashing water, start right at the water and work your way up the very obvious sand jugs, they seem pretty solid, and work your way up the rock face to the top for a view of the ocean!"
The Coffer,6,overhanging,crack,"Crouch/sit start in middle of face on sidepull and gaston and follow crack to horizontal, then up and slightly left."
Pomo Roof,3,overhanging,steep,Climb over the roof on the right side of the cave
Pomo traverse,4,slab,traverse,Slabby traverse. Start right of the tree and traverse uphill on the slabby boulder staying low the whole way. Needs to be cleaned!
Mainline,5,overhanging,steep,Left side of cave left of Pomo roof and right of Ganesh
Ganesh,8,overhanging,dyno,"Really tough problem! High stand start. ""Impossible wall"" of Sonoma county?!? Start on two miserable slopey crimps, do a tough move out to a decent gaston, dyno to the sloper, and top out to the left"
Guadalupe rock traverse,4,overhanging,traverse,Start standing on a rock in front of the 5.3 route or on the far left side of the rock and traverse right to the right most route on the boulder and step off or traverse the rest of the rock. I haven't traversed the entire rock yet because I don't want to go swimming but I would guess it's at least a V5/6 and a first ascent. Good summertime activity.
Please Don't Break,1,overhanging,dyno,"Both hands start on a sloppy crimp , then it's a a fairly dynamic move to good sloper with the right hand, and finally a dyno to catch a good left hand crimp at the top and a top out.  Ideal climber height for this is ~5'7"". Tall enough to reach the sloper, but still has to jump for the top crimp.  Many variants of this climb can be done to make it easier, but be careful of rocks breaking off the top and if you use any holds not described."
Should've Brought Pads,2,overhanging,dyno,"Starts slightly overhung with both hands matched on a good ledge and with feet out to the left, then a right hand move to a great crimped, then heel hook the start hold with the left foot and move your left hand to a decent sloper above the right hand crimp. From here, there's a dynamic move to a great right hand pinch where you lose your feet and try not to lose your left hand, then you can follow an easy line of crimps to a top out."
Left Crack direct,0,vertical,crack,The obvious crack system on the left side of the rock (the left most crack). Climb the crack up to the flake with giant jugs up to the ledge where you can rest and climb over the really exposed super scary section on the flake (follow the flake to the left slightly) to an easy top out on jugs. Very reachy route at times. 5.11a direct variation without bailing out left!
Right Crack,0,vertical,crack,"The crack to the right of left crack. Climb the crack up to the giant jugs on the flake up to the ledge, and follow the flake to the left over the  super exposed small roof to a juggy topout. Super fun! The crux is two tiny crimps before a jug."
Diagonal traverse,0,overhanging,steep,Start under the overhang on two obvious jugs and climb up the arete and do the same finish as the other problems on the flake.
Wake me up when September ends,2,vertical,crack,The crack is about 4” so it works great with double hand jams.
Double Quarter Pounder,3,overhanging,steep,"Start on the same jug rail, then go around the corner, making a compression move to get to the crimp rail which starts Can I Help You, then go straight up."
"Pink Hammer, Dicks Out",5,overhanging,steep,"Sit start at the very bottom on the obvious hold (crimp above is on for the start), then make a heinous pull up move to swing out the the arete, move right and finish as for Can I Help You."
Amigos' Arete,1,overhanging,traverse,"Stand start with crimps at head height (maybe a little higher), left of the obvious crimp rail start of Mexican Jacket. The left hand starting crimp, is on the actual arete. Climb the arete. Use the ledge at top to hand traverse leftwards and top out."
Mexican Jacket,3,vertical,technical,"You'll be climbing the beautifully tiger striped wall, right of the sharp arête, that is both concave and angular. The rock is perfect on this one. Stand start matched with a crimp rail at chest/head height in the concave and feet smearing. Move the left hand up over the roof onto a vertical crimp and begin a series of contortionist movements that have you palming out right, high stepping, body scumming and bumping through some edges. Top out directly through the looming Aron Ralston boulders. They seem solid!"
Wavestorm,1,vertical,crack,"Begin at the center of the south-facing slab, where an angled crack comes within reach. Move up and left, following the crack, until you reach a good hold at the arête. Take a deep breath before riding the arête to the top of the boulder using layback technique and smears. (If anyone has information about a prior ascent, please let me know, and I will update the page accordingly. Thank you.)  Video: m.youtube.com/watch?v=QecyQ…"
Potters’ Crack,0,slab,crack,Standing start with hands beginning on two thin slanting cracks. Proceed to follow zig-zagged/z-shaped crack up to flake. Use flake to ascend further to jugs and top out at peak of the boulder.
The Swinger,3,vertical,crack,"Standing, split start with high left hand and low right. Use small crack to work towards arete then reach high jug across the gap with your right hand for the crux. Move left hand up then use the crack to top out."
Hang loose,1,overhanging,crack,"Great quality jams on a perfect inverted crack,"
Darwin Award,2,overhanging,traverse,"Tired of falling on the third move of Monkey Bar Direct? Are the swarms of people getting to your head and harshing your mellow? Do you find yourself asking ""Is there more to my life?""  Luckily the answer is YES, and it all starts with an ascent of Darwin Award.  Sit start on the South/West side of the natural shelter. Traverse up and left using some decent holds and a few heel hooks. Eventually you reach a good sloper, which is about the same time you decide you'd rather be hanging upside-down. So stuff both your feet up inside the crack and just chill out man, you're stressin'. Do several traversing moves while inverted, eventually reaching an OK hand jam and transitioning back upright. Try not to cut feet and pull the finishing move which tops out the leaning slab that creates the shelter. If super psyched, continue up to the top of the Monkey Bar Boulder.  Several variations of this problem exist changing the difficulty from V1 - V4 depending on how you choose to climb it."
Monkey Bar,2,overhanging,traverse,"Sit start on the left-most jug of the main juggy-cave-thing area. Traverse right on big happy jugs (yay!). At the corner, starting climbing up. Make a big throw from an undercling thingie to a big incut jug out on the arete. Alternately, try a scary feeling-cross off a shallow half-tips pocket. After attaining the incut jug, climb fairly directly up on big holds."
Hyperglide (aka Monkey Pinch),5,overhanging,steep,"Originally named ""Monkey Pinch"" in the Las Vegas Bouldering guidebook, this problem is now listed as ""Hyperglide"" in Southern Nevada Bouldering II.  Make your way up to the big undercling starting as low as you deem respectable. Once established under the roof, grab the right hand pinch/sidepull and use one of several left hand crimp options. Crank through the sidepull to a left-hand crimp that may seem miles away. A tall but easy topout follows."
Oompa Loompa,5,overhanging,steep,V5 lowball. Cool Movement.
Monkey Bar Traverse,6,overhanging,traverse,SDS on the east side of the boulder and traverse right through the jugs to finish up the crimps of Monkey Bar Direct.
Classic Monkey,6,overhanging,steep,"Sit down start on the northwest side of the boulder. This is essentially the first problem you see as you get to the Monky Bars boulder. A few powerful moves will take you to a large sidepull jug, where you begin to trend left and up on small holds. The new bouldering guidebook gives this a V6, so that's what I'm going with."
Monkey Bar Direct,8,overhanging,steep,"Classic moves on steep & solid stone.  Start on the huge jug at the bottom of the roof on the uphill side of the boulder. Move out to the double pockets and then fire up through positive crimps to an easy topout.  Some good deadpoint skills come in handy in the 2nd half of the problem, and the crux may feel significantly more difficult for shorter people due to a lack of positive footholds."
Peter North Pump,9,overhanging,traverse,"Start on monkey bars, traverse into the start of monkey bar direct and climb to the top!"
Monkey Bar Direct Right,9,overhanging,steep,Sit down start off the low rail on the northwest side of the boulder. Move into the initial pocket followed by a big move into the dual pockets far left and finish direct.
The Redirect,12,overhanging,steep,"Begin as for Monkey Bar Direct (V8), and then make a big cross move left to finish on the very end of Monkey Bar (V2). Beta video can be found here https://www.youtube.com/watch?v=8ZxNMx0zE90"
Plumbers Crack (North side chimney),0,vertical,crack,Fun Chimney
Cirque Du Soleil,3,overhanging,mantle,Incredibly unique boulder! Begin in a sit start and mantle while doing 180 into a small sloping pod. Reach up to the lip and match before traversing to the left and topping out.  youtube.com/watch?v=km0bd6D…
Plumber's Crack,2,vertical,crack,The south (downhill) crack of this massive split boulder. Burl through the bottom then keep your cool for the run to the top.    There are bolts on top of this boulder which are accessible from either the downclimb on the north side or the north (uphill) side of the boulder.
Slice N Dice,9,overhanging,face,"A brilliant boulder problem on the back side of the Plumbers Crack Boulder. Stays in the shade all day, and climbs some of the highest quality stone at Kraft.     Start with opposing side-pulls and a wide stem, make a hard move to a left hand pinch and then the crux move to a right facing ear. Finish up and right to an obvious jug at the top of the neighboring V5, top out via easy, albeit very highball terrain.     Although Slice N Dice is better known, it is a variation of 'Plunger' V9 which shares the same crux but takes it's own line straight to the top."
Poker Chips,0,overhanging,face,"Start on the far left. Climb the flake, heel-hooking as you go, to the center high-point and top out."
Full Traverse,1,overhanging,traverse,Continuation of the traverse problem- keep going until you can step off on the other side.
Potato Chips,2,overhanging,technical,Overhanging and crimpy. Nothing too technical---nice and straight-forward climbing on good holds with a safe top-out and good landing.
The Pearl,5,overhanging,face,"The Pearl is a classic line on The Pearl boulder.  The face is slightly overhanging, and the start holds barely there.  The original start is standing up with left hand in a pocket and right hand lower on a ledgy crimp (which has now broken and can still be used as a decent sidepull).  It's really only a move or two until you are home free.  Descent is on the opposite side of the boulder."
Pearl Necklace,6,vertical,face,"This is a sit start to the classic problem ""The Pearl V4"" You start matched on the obvious crimp rail and then make a move left to a 1 or 2 finger pocket depending on the size of your fingers. From here continue up The Pearl. The crux is figuring out how to get the correct feet to make the first move."
The Huck,5,overhanging,dyno,Start as for the Angel Dyno but move more or less straight up to a small but positive right hand crimper. Find the foot beta and make a long reach to the lip.  Mantle it out and move along.  A great sequence.    If anyone knows the name and grade post it up.
Angel Dyno,7,overhanging,dyno,Highly aesthetic and (like all dynos) height dependent. Climb dwindling edges to a toss for a left facing hold. Hang on to it and top out casually. Good stuff. Also known as the John Long Dyno?
Progressive Guy,10,overhanging,dyno,"This line climbs the clean overhanging arete to the right of Angel Dyno. Sit start on the low rail and work up and left on a small left hand crimp and atrocious right hand sloper. Stay tight for the powerful crux move to the left hand rail and finish on glory holds.    Tall people can span from a low right rail all the way to the high left hand, but thats just not that sick."
Blackstone,3,overhanging,mantle,Stand start on large jug in the middle of the boulder. Move up and left to a rail that turns into a good undercling. Make a large move up and left to a good horn and mantle onto the topout slab.
The Bathtub,5,vertical,face,Stand start with a righthand side pull and go straight up the varnished wall on marginal holds.
Tied to the Whipping Post,6,overhanging,face,"Start as for Orange Top Blue Sky on the far left of the east side of the boulder.  Instead of staying low, head toward the undercling jug on Blackstone.  From there top out as for Blackstone."
Vino Rojo,6,vertical,technical,"Climbs the southwest arete on beautiful varnish. Jump start to the obvious sloper, move left into a great undercling, and work straight up through sloping crimps to a sloped varnish topout. AKA Special K"
Big K,8,overhanging,steep,Big K stand starts immediately below the start hold of Vino Rojo. Left hand on a sidepull/undercling crimp and your right hand on a slopy crimp on the arete. Make a big move to the start hold of Vino Rojo and finish up on that problem. Very hard one move wonder with great moves to boot on Vino Rojo.
Orange Top Blue Sky,8,overhanging,traverse,"Long and sustained with interesting movement. Start on the far left incut jug and traverse right on low holds. After turning the arete, join or stay slightly left of a V1 highball topout line."
Alexisizer,6,overhanging,traverse,"Start on the left, traversing right using the slopers (duh). Top out where the big diagonal crack starts (if you can get there!)."
Jones'n,4,vertical,face,Sit start on the obvious right facing rail and move up and left through crimps and sidepulls with tricky feet.  The topout can be done direct or by rolling left onto the slabby face.
Bubble Butt,7,overhanging,steep,"Sit start under the roof in the southeast corner. Make a small move to the slopey ""butt"". Slap up the slopey left arete or shoot for the lip. Juggy hands up top."
Scare Tactics Right,9,overhanging,steep,Start on the far right side of the Scare Tactics overhang with opposing side pull crimps.  Climb left on good crimps into Scare Tactics.
Best V3 at Kraft,3,overhanging,mantle,"Start on the sloping right leaning rail, and head toward the large juggy holds up and right.  Mantle on the jugs, gain the funky slot hold straight up, then traverse to the right to top out.  This problem is quite good, but is kind of high, and has a large boulder behind you to watch out for if you come off."
The Dead Heart,4,overhanging,face,Sit start with down pulls and climb up the arête on cool vertical fins and scoops.
Snake Eyes,6,overhanging,mantle,Snake Eyes starts on pockets and dismal feet. Fire straight up to a decent hold and mantle to top out. Height Dependent.
Taurine,9,overhanging,dyno,Sit start with left hand crimp and right side pull. Find some feet and all out dyno for the lip. Top out above.
Send Before It Breaks,6,overhanging,steep,"Start on the right side of the boulder, with right hand in an incut finger bucket and left hand on a quarter-pad edge. Strong lock off into the undercling of southeast, and then a nice cross and barn-door type move to get into the V3 version of southeast. top out as far southeast.   a fun climb."
Shady lady,2,vertical,face,This is the varnished western face of the boulder. Climb on great holds to a semi-tenuous topout.
Belly Flop,5,vertical,technical,"The route starts on a crimpy seam and goes up through balancy moves to a slopey rail/ledge. It is cool for three reasons: it gets almost all day shade, it does not receive much traffic, and it has very technical and delicate movement."
Kraft Dinner Right,7,vertical,face,"Start on the chalked up triangle jug then move the up and, to the left crimp rail then top out."
$500,8,vertical,face,Begin on the nice triangular hold that also serves as the start for Kraft Dinner Right. Move up and right to link into the stellar finish of $600.
$600,9,vertical,face,Grab holds around head height.  Climb straight up with a hefty move to the lip.
Butterfly Kiss,3,overhanging,steep,Start under the roof with hands on an undercling. Reach out left to a crimp around the lip.  Make a big move up and left (crux).  Top out.  Lowball with good movement.
The Wave,3,overhanging,traverse,"Start on the far right side of the slopey shelf with two hands and a heel on. Traverse right to left. Hit the crimp and throw for a jug at the transition. Climb to and up the arete, using slopey (some hidden jugs) holds and invisible feet (or gymnastic heel-hooks)."
Perfect Poser,1,vertical,face,No text - use the 'Improve This Page' link to add something useful!
Martinet's Rails,1,vertical,traverse,"Tall and good. Lots of sloping edges lead to larger sloping edges for 30 feet of great stone. This has a low crux, so this climb actually serves well as a down climb from the boulder.     Can be started on the left and traverse up and right to the ledges, or start on the right, and traverse up left into the ledge system."
Total Devistation,2,vertical,technical,Highball topout on bigger holds but techy crux mid height
Big Love,4,vertical,face,Stand start; climb the face right of Perfect Poser with smaller edges. Take a deep breath half way and make a big reach to the middle of the boulder and climb straight up.
Fear of a Black Hat,9,overhanging,steep,"Crouch start with a hueco, follow the overhanging arete just left of ""A Clockwork Orange"". Highball."
A Clockwork Orange,12,overhanging,face,"Same start as ""Fear of a Black Hat"". Follow an obvious line of pockets and crimpers up overhanging patina. Highball."
Van Betten Arête,3,vertical,face,Sit start with flat edges and move up the arête and edges on the right to topout jugs. Super fun!
Sorange,3,overhanging,dyno,"Start on the two obvious chalked scoopy/pinchy holds. Figure out your feet, move through the edges and rails, then either step up or huck to the jug on the lip."
Toasted,4,vertical,face,Climb the attractive rail on the south west side of the boulder until it ends. Make a desperate move to a large sloping ledge and top out.
The Prowler,5,overhanging,steep,"Sit start with toe hooks, climb the prow and top out the short boulder."
Unknown,5,overhanging,mantle,"Start on two crimps at about face height, work up and left on more crimps, reach up and use small pockets and small feet to get over the lip, grab the large hueco jug, and finish by slabbing or beached whale to get on the very top (*a placeholder description to fit a route that I found in one of the guidebooks and then climbed; let me know if this is already a route on mountain project (can't tell if descriptions for Cherry Garcia or This V2 fit, no pictures)"
Monkey Wrench,7,vertical,face,Start on good rail to the right of Cherry Garcia and go up to the right. Really just two harder moves off small holds and the rest isn't bad.
Spring Loaded,8,overhanging,steep,"Start as on The High Road (V7), but move right across the cave at the obvious crimp rail to a large angular hold which is the start of Spring Board (V3). Top out on the right side of the cave as opposed to the left for The High Road."
Amazing Grace,4,vertical,face,Amazing Grace is a great line found on the Southern Face of the Tsunami Boulder. Stand start on slanted crimp rail then climb up on some more crimps and longer moves to the top. Very good flow on this route with a nice top out.
The Prayer,6,overhanging,steep,"The Prayer is the highly aesthetic overhanging arete on the southwest corner that makes the Tsunami Boulder so identifiable. Stand start on an OK crimp and a decent sidepull. Make some long moves towards the top and try not to let your feet skate. Move straight up the arete using the holds available. Straightforward, hard and very pleasing."
The Red Wave,10,overhanging,steep,Stand start on bad holds above your head. Pop to the sharp incut crimp and top out.
